DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0004-BRA,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,BRA,Brazil,Latin America and the Caribbean,Americas,Pouso Redondo (Etat de Santa Catarina),,,No,No,No,,,,,,,2000,1,12,2000,1,12,42,71,,,71,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0008-GTM,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Pacaya,GTM,Guatemala,Latin America and the Caribbean,Americas,"El Caracol, El Patrocinio, El Rodeo, San Francisco de Sales cities (San Vicente Pacaya district, Escuintla province)",,,No,No,No,,,,14.381,-90.601,,2000,1,16,2000,1,16,,,800,,800,,,,,,,56.5142905592776,"[{""adm2_code"":64911,""adm2_name"":""San Vicente Pacaya""}]",2014-07-28,2023-09-25
2000-0015-PER,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,PER,Peru,Latin America and the Caribbean,Americas,San Francisco (Ayacucho department),,,No,No,No,,,,,,,2000,1,1,2000,1,1,29,7,,,7,,,,,,,56.5142905592776,,2005-07-22,2023-09-25
2000-0019-BRA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BRA,Brazil,Latin America and the Caribbean,Americas,"Rio de Janeiro city (Rio de Janeiro district, Rio de Janeiro province), Sao Paulo city (Sao Paulo district, Sao Paulo province), Campos de Jordao city (Campos de Jordao district, Sao Paulo province). Volta Redonda district (Rio de Janeiro province), Barra Mansa district (Rio de Janeiro province), Resende district (Rio de Janeiro province), Pirangucu district (Minas Gerais province), Santa Rita do Sapucai district (Minas Gerais province).",Heavy rains,"Slide (land, mud, snow, rock)",No,No,Yes,,350000,Km2,,,"Paraiba, Tiete, Maracana, Rio Verde",2000,1,1,2000,1,6,26,,,70000,70000,,,,,,,56.5142905592776,"[{""adm2_code"":8467,""adm2_name"":""Pirangucu""},{""adm2_code"":8555,""adm2_name"":""Santa Rita Do Sapucai""},{""adm2_code"":9902,""adm2_name"":""Barra Mansa""},{""adm2_code"":9956,""adm2_name"":""Resende""},{""adm2_code"":9961,""adm2_name"":""Rio De Janeiro""},{""adm2_code"":9985,""adm2_name"":""Volta Redonda""},{""adm2_code"":11089,""adm2_name"":""Campos Do Jordao""},{""adm2_code"":11543,""adm2_name"":""Sao Paulo""}]",2005-07-08,2023-09-25
2000-0021-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Crittenden, Daviess, Webster districts (Kentucky province)",,,No,No,No,,,Kph,,,,2000,1,2,2000,1,4,1,12,,150,162,,,200500,354778,210000,371587,56.5142905592776,"[{""adm2_code"":29698,""adm2_name"":""Crittenden""},{""adm2_code"":29700,""adm2_name"":""Daviess""},{""adm2_code"":29787,""adm2_name"":""Webster""}]",2003-07-01,2023-09-25
2000-0035-USA,No,tec-tra-air-air,Technological,Transport,Air,Air,,MD-83,USA,United States of America,Northern America,Americas,Pacifique (au large de la Californie),,,No,No,No,,,,,,,2000,1,31,2000,1,31,88,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0067-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Bullock, Montgomery districts (Alabama province), Colquitt, Grady, Mitchell, Thomas, Tift districts (Georgia province), Washington district (Floride province), Lonoke, Prairie, Saline districts (Arkansas province)",,,No,No,No,,249,Kph,,,,2000,2,13,2000,2,14,22,100,900,,1000,,,,,,,56.5142905592776,"[{""adm2_code"":28696,""adm2_name"":""Bullock""},{""adm2_code"":28741,""adm2_name"":""Montgomery""},{""adm2_code"":28832,""adm2_name"":""Lonoke""},{""adm2_code"":28848,""adm2_name"":""Prairie""},{""adm2_code"":28851,""adm2_name"":""Saline""},{""adm2_code"":29064,""adm2_name"":""Washington""},{""adm2_code"":29099,""adm2_name"":""Colquitt""},{""adm2_code"":29107,""adm2_name"":""Decatur""},{""adm2_code"":29129,""adm2_name"":""Grady""},{""adm2_code"":29165,""adm2_name"":""Mitchell""},{""adm2_code"":29200,""adm2_name"":""Thomas""},{""adm2_code"":29201,""adm2_name"":""Tift""}]",2005-04-24,2023-09-25
2000-0080-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Kentucky, Ohio provinces",Heavy rain,"Slide (land, mud, snow, rock)",No,No,No,,55000,Km2,,,"Licking River, Ohio River, Scioto River",2000,2,18,2000,2,22,3,,231,,231,,,,,,,56.5142905592776,"[{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3249,""adm1_name"":""Ohio""}]",2005-09-16,2023-09-25
2000-0081-COL,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000a373,,COL,Colombia,Latin America and the Caribbean,Americas,Jurado island and Jurado districts (Choco province),,,No,No,No,,6.5,Moment Magnitude,7.042,-77.829,,2000,11,8,2000,11,8,2,,430,,430,,,,,,,56.5142905592776,"[{""adm2_code"":13795,""adm2_name"":""Jurado""},{""adm2_code"":13796,""adm2_name"":""Jurado (is.)""}]",2008-05-08,2023-09-25
2000-0098-COL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,COL,Colombia,Latin America and the Caribbean,Americas,"Tolima, Santander, Valle provinces",,,No,No,No,,,Km2,,,,2000,2,,2000,2,,8,,,39000,39000,,,,,,,56.5142905592776,"[{""adm1_code"":961,""adm1_name"":""Santander""},{""adm1_code"":963,""adm1_name"":""Tolima""},{""adm1_code"":964,""adm1_name"":""Valle Del Cauca""}]",2003-07-01,2023-09-25
